child_id,tag,view,image_name,shoulder_width_ref,total_arm_area,left_arm_area,right_arm_area,left_arm_width,right_arm_width,left_arm_height,right_arm_height,left_arm_aspect_ratio,right_arm_aspect_ratio,total_arm_area_norm,left_arm_area_norm,right_arm_area_norm,left_arm_width_norm,right_arm_width_norm,left_arm_height_norm,right_arm_height_norm,num_arms_detected
1755,IMG_20240103_085151_1755,frontal1,IMG_20240103_085151_1755_frontal1.jpg,414.60304630590826,465.0,195.0,270.0,9.0,13.0,40.0,37.0,4.444444444444445,2.8461538461538463,0.002705128969806682,0.001134408922822157,0.001570720046984525,0.02170751054578478,0.03135529301057802,0.09647782464793236,0.08924198779933744,2
1756,IMG_20240103_085227_1756,frontal1,IMG_20240103_085227_1756_frontal1.jpg,422.0340776902726,1704.0,1070.0,634.0,23.0,18.0,64.0,50.0,2.782608695652174,2.7777777777777777,0.00956697304485196,0.006007430257037323,0.003559542787814638,0.05449796880355125,0.042650584281040106,0.1516465218881426,0.1184738452251114,2
1757,IMG_20240103_085755_1757,frontal1,IMG_20240103_085755_1757_frontal1.jpg,513.9593154652915,1290.0,499.0,791.0,14.0,20.0,58.0,63.0,4.142857142857143,3.15,0.004883511629434966,0.001889048296967479,0.002994463332467487,0.02723951016886558,0.03891358595552225,0.11284939927101453,0.1225777957598951,2
1758,IMG_20240103_090716_1758,frontal1,IMG_20240103_090716_1758_frontal1.jpg,489.156335156064,1653.0,771.0,882.0,19.0,22.0,54.0,56.0,2.8421052631578947,2.5454545454545454,0.006908400206998213,0.0032222483724111445,0.003686151834587068,0.03884238766720276,0.04497539624623477,0.11039415442257626,0.1144828268085976,2
1759,IMG_20240103_092332_1759,frontal1,IMG_20240103_092332_1759_frontal1.jpg,515.3900359538542,1823.0,884.0,939.0,20.0,23.0,59.0,59.0,2.95,2.5652173913043477,0.0068630100128845885,0.0033279763309873706,0.0035350336818972183,0.0388055620108859,0.04462639631251878,0.11447640793211339,0.11447640793211339,2
1760,IMG_20240103_092837_1760,frontal1,IMG_20240103_092837_1760_frontal1.jpg,566.2230717597926,2788.0,1114.0,1674.0,26.0,28.0,59.0,75.0,2.269230769230769,2.6785714285714284,0.008695962263728417,0.0034746420235988004,0.0052213202401296165,0.045918298452928316,0.04945047525699972,0.10419921572010656,0.13245663015267783,2
1761,IMG_20240103_093807_1761,frontal1,IMG_20240103_093807_1761_frontal1.jpg,456.2105360957568,1632.0,772.0,860.0,17.0,19.0,64.0,62.0,3.764705882352941,3.263157894736842,0.00784132640726052,0.003709254893630589,0.0041320715136299304,0.03726349712456392,0.04164743796274791,0.14028610682188772,0.13590216598370372,2
1762,IMG_20240103_101851_1762,frontal1,IMG_20240103_101851_1762_frontal1.jpg,573.6841614689048,2593.0,1386.0,1207.0,23.0,23.0,80.0,78.0,3.4782608695652173,3.391304347826087,0.007878740510838216,0.004211312899352783,0.0036674276114854326,0.0400917465476283,0.0400917465476283,0.1394495532091419,0.13596331437891337,2
1763,IMG_20240103_111235_1763,frontal1,IMG_20240103_111235_1763_frontal1.jpg,489.6852794943525,1391.0,732.0,659.0,21.0,19.0,54.0,52.0,2.5714285714285716,2.736842105263158,0.005800868657645005,0.0030526497896449633,0.002748218868000042,0.04288468712329791,0.03880043120679335,0.1102749097456232,0.10619065382911864,2
1764,IMG_20240103_112059_1764,frontal1,IMG_20240103_112059_1764_frontal1.jpg,496.8661683372518,1741.0,786.0,955.0,15.0,19.0,68.0,69.0,4.533333333333333,3.6315789473684212,0.007052123640588602,0.0031837847107999083,0.003868338929788693,0.03018921584095183,0.03823967339853898,0.13685777847898162,0.1388703928683784,2
1765,IMG_20240103_115137_1765,frontal1,IMG_20240103_115137_1765_frontal1.jpg,516.3573586040952,2272.0,1226.0,1046.0,24.0,26.0,72.0,65.0,3.0,2.5,0.008521333957804255,0.0045982198205405,0.003923114137263754,0.046479438319385766,0.05035272484600124,0.13943831495815728,0.1258818121150031,2
1766,IMG_20240103_115909_1766,frontal1,IMG_20240103_115909_1766_frontal1.jpg,485.1779627724462,2354.0,1230.0,1124.0,24.0,24.0,70.0,67.0,2.9166666666666665,2.7916666666666665,0.010000099594873756,0.005225200722894953,0.004774898871978803,0.04946638520607388,0.04946638520607388,0.14427695685104883,0.13809365870028958,2
1767,IMG_20240103_120001_1767,frontal1,IMG_20240103_120001_1767_frontal1.jpg,433.7050275845056,930.0,406.0,524.0,13.0,19.0,42.0,40.0,3.230769230769231,2.1052631578947367,0.004944177289122271,0.002158425784283486,0.002785751504838785,0.02997428937451504,0.04380857677813737,0.09684001182535629,0.09222858269081552,2
1768,IMG_20240103_121255_1768,frontal1,IMG_20240103_121255_1768_frontal1.jpg,373.7970429159061,679.0,249.0,430.0,10.0,15.0,34.0,42.0,3.4,2.8,0.004859572340726397,0.0017820817567612264,0.00307749058396517,0.026752485578784315,0.04012872836817647,0.09095845096786667,0.11236043943089413,2
